document_id,date_start,date_end,author.name,author.user_id,latitude,longitude,skitouring,rock_climbing,mountain_climbing,ice_climbing,hiking,snow_ice_mixed
1083139,2019-02-20,2019-02-20,christian73,1071965,711698.2218503949,5695957.429796721,True,False,False,False,False,False
1083138,2019-02-20,2019-02-20,Bernard Genand,1227,757644.0917803413,5767715.427184575,True,False,False,False,False,False
1083137,2019-02-20,2019-02-20,Sylvain D,5441,660367.8982022377,5649001.70111114,True,False,False,False,False,False
1083125,2019-02-20,2019-02-20,nico111,174431,746445.7978606882,5819505.459894259,True,False,False,False,False,False
1083109,2019-02-20,2019-02-20,D@vid,7085,730900.3437958213,5503925.066788036,True,False,False,False,False,False
1083083,2019-02-20,2019-02-20,b.d,389095,743209.2754355337,5820350.615405918,True,False,False,False,False,False
1106270,2019-02-19,2019-02-19,joburg,414081,728304.7989723501,5709734.184695523,True,False,False,False,False,False
1089680,2019-02-19,2019-02-19,vincent valentine,628114,-5813.994365151385,5271150.015547321,True,False,False,False,False,False
1088118,2019-02-19,2019-02-19,marco167,331697,760892.1337715884,5564239.234529856,True,False,False,False,False,False
1086848,2019-02-19,2019-02-19,Mikolaj,828278,665171.0512585529,5828906.903625322,True,False,False,False,False,False
1085846,2019-02-19,2019-02-19,Yann Gaumont,464242,776937.8097892702,5762459.451910611,True,False,False,False,False,False
1084132,2019-02-19,2019-02-19,Julien Thevenet,11059,720009.4570738075,5782101.731971383,True,False,False,False,False,False
1083561,2019-02-19,2019-02-19,gdoumenc,898595,748822.0582368495,5743369.110451559,True,False,False,False,False,False
1035689,2018-08-12,2018-08-12,xsaule,593144,-56490.78853164449,5299824.876226396,False,False,False,False,True,False
1034953,2018-08-12,2018-08-12,Sirac2000,465199,651312.7578013728,5587291.637094247,False,False,False,False,True,False
1032854,2018-08-11,2018-08-12,Antoine,1013512,676349.8357516745,5615879.480476333,False,False,False,False,True,False
1030935,2018-08-12,2018-08-12,Florence B,577903,741153.1456460896,5662748.606374089,False,False,False,False,True,False
1030496,2018-08-12,2018-08-12,Xavier Birot,1021318,785369.9105306413,5674527.038920073,False,False,False,False,True,False
1030427,2018-08-12,2018-08-12,Passy Alpirunning,369397,749023.4908554403,5775735.639035642,False,False,False,False,True,False
1030351,2018-08-12,2018-08-12,JulBont,470196,674952.1241497115,5610061.234736551,False,False,True,False,True,False
1030137,2018-08-12,2018-08-12,Carmen,1000070,619124.9187709574,5633615.384112765,False,False,True,False,True,False
1030115,2018-08-11,2018-08-12,aurel69,786890,660474.1697663368,5646343.684307902,False,False,False,False,True,False
1029815,2018-08-12,2018-08-12,bernard guérin,386709,649953.6566257777,5574055.861411539,False,False,False,False,True,False
1029797,2018-08-12,2018-08-12,Greg,360414,753539.1845527177,5772449.394274411,False,False,False,False,True,False
1029694,2018-08-11,2018-08-12,Mountain Climber,11409,661978.2253359016,5648737.030466734,False,False,False,False,True,False
1029635,2018-08-12,2018-08-12,zouille06,806272,825946.1406973073,5481449.8996390775,False,False,True,False,True,False
1029570,2018-08-12,2018-08-12,Alpine,108576,713414.1918476657,5750289.996867202,False,False,False,False,True,False
1029466,2018-08-12,2018-08-12,Guillaume Blanc,13007,718735.7951198963,5557124.275349768,False,False,False,False,True,False
1029312,2018-08-12,2018-08-12,-Dav-,385914,758209.8400332454,5830832.724094654,False,False,False,False,True,False
1029303,2018-08-12,2018-08-12,Hydra,10827,770311.3194322973,5682237.668644442,False,False,False,False,True,True
1029031,2018-08-12,2018-08-12,ragnar74,487575,728264.7991915457,5774399.131366773,False,False,False,False,True,False
1029017,2018-08-12,2018-08-12,Sophie,919609,672501.0813905087,5591773.103387926,False,False,True,False,True,False
1028996,2018-08-12,2018-08-12,vmartinel,604049,7587.312595030588,5309374.555499242,False,False,False,False,True,False
1028984,2018-08-12,2018-08-12,nico111,174431,755511.3723383537,5800768.330459695,False,False,False,False,True,False
